"id","k_element","old_jlpt","new_jlpt"
"1247","醜","1","1"
"1249","住","3","4"
"1250","充","1","1"
"1251","十","4","5"
"1252","従","1","1"
"1254","柔","2","2"
"1255","汁","1","1"
"1256","渋","1","1"
"1257","獣","1","1"
"1258","縦","1","1"
"1259","重","3","4"
"1260","銃","1","1"
"1261","叔","1","1"
"1263","宿","2","3"
"1264","淑","1","1"
"1265","祝","2","2"
"1266","縮","1","1"
"1267","粛","1","1"
"1268","塾","1","1"
"1269","熟","1","1"
"1270","出","4","5"
"1271","術","2","3"
"1272","述","2","2"
"1273","俊","1","1"
"1274","峻","1","1"
"1275","春","3","4"
"1276","瞬","1","1"
"1277","竣","1","1"
"1278","舜","1","1"
"1279","駿","1","1"
"1280","准","1","1"
"1281","循","1","1"
"1282","旬","1","1"
"1284","殉","1","1"
"1285","淳","1","1"
"1286","準","2","2"
"1287","潤","1","1"
"1288","盾","1","1"
"1289","純","2","2"
"1290","巡","1","1"
"1291","遵","1","1"
"1293","順","2","2"
"1294","処","2","3"
"1295","初","2","3"
"1296","所","3","3"
"1297","暑","3","1"
"1298","曙","1","1"
"1299","渚","1","1"
"1300","庶","1","1"
"1301","緒","2","3"
"1302","署","2","2"
"1303","書","4","5"
"1306","諸","2","2"
"1307","助","2","3"
"1308","叙","1","1"
"1309","女","4","5"
"1310","序","1","1"
"1311","徐","1","1"
"1312","恕","1","1"
"1314","除","2","3"
"1315","傷","1","1"
"1316","償","1","1"
"1317","勝","2","3"
"1318","匠","1","1"
"1319","升","1","1"
"1320","召","2","2"
"1322","商","2","3"
"1323","唱","1","1"
"1325","奨","1","1"
"1328","宵","1","1"
"1329","将","2","2"
"1330","小","4","5"
"1331","少","4","4"
"1332","尚","1","1"
"1333","庄","1","1"
"1334","床","2","2"
"1336","彰","1","1"
"1337","承","2","2"
"1338","抄","1","1"
"1339","招","2","3"
"1340","掌","1","1"
"1341","捷","1","1"
"1342","昇","2","2"
"1343","昌","1","1"
"1344","昭","1","1"
"1345","晶","1","1"
"1346","松","1","1"
"1347","梢","1","1"
"1350","沼","1","1"
"1351","消","2","3"
"1352","渉","1","1"
"1354","焼","2","2"
"1355","焦","1","1"
"1356","照","2","2"
"1357","症","1","1"
"1358","省","2","2"
"1359","硝","1","1"
"1360","礁","1","1"
"1361","祥","1","1"
"1362","称","1","1"
"1363","章","2","2"
"1364","笑","2","3"
"1366","紹","2","2"
"1367","肖","1","1"
"1368","菖","1","1"
"1370","蕉","1","1"
"1371","衝","1","1"
"1373","訟","1","1"
"1374","証","1","1"
"1375","詔","1","1"
"1376","詳","1","1"
"1377","象","2","2"
"1378","賞","2","2"
"1382","鐘","1","1"
"1383","障","1","1"
"1385","上","4","5"
"1387","丞","1","1"
"1388","乗","3","3"
"1389","冗","1","1"
"1390","剰","1","1"
"1391","城","2","2"
"1392","場","3","4"
"1393","壌","1","1"
"1394","嬢","1","1"
"1395","常","2","3"
"1396","情","2","3"
"1398","条","2","1"
"1400","浄","1","1"
"1401","状","2","3"
"1402","畳","2","2"
"1403","穣","1","1"
"1404","蒸","2","2"
"1405","譲","1","1"
"1406","醸","1","1"
"1407","錠","1","1"
"1408","嘱","1","1"
"1410","飾","1","1"
"1412","植","2","2"
"1413","殖","1","1"
"1415","織","1","1"
"1416","職","2","3"
"1417","色","3","4"
"1418","触","2","2"
"1419","食","4","5"
"1421","辱","1","1"
"1423","伸","2","2"
"1424","信","2","3"
"1425","侵","1","1"
"1426","唇","1","1"
"1427","娠","1","1"
"1428","寝","2","3"
"1429","審","1","1"
"1430","心","3","4"
"1431","慎","1","1"
"1432","振","1","1"
"1433","新","4","4"
"1434","晋","1","1"
"1435","森","3","2"
"1436","榛","1","1"
"1437","浸","1","1"
"1438","深","2","3"
"1439","申","2","3"
"1441","真","3","4"
"1442","神","2","3"
"1443","秦","1","1"
"1444","紳","1","1"
"1445","臣","2","2"
"1447","薪","1","1"
"1448","親","3","4"
"1449","診","1","1"
"1450","身","2","3"
"1451","辛","2","2"
"1452","進","3","3"
"1453","針","2","2"
"1454","震","2","2"
"1455","人","4","5"
"1456","仁","1","1"
"1457","刃","1","1"
"1460","尋","1","1"
"1461","甚","1","1"
"1462","尽","1","1"
"1465","迅","1","1"
"1466","陣","1","1"
"1470","須","1","1"
"1471","酢","1","1"
"1472","図","3","4"
"1475","吹","2","3"
"1476","垂","1","1"
"1477","帥","1","1"
"1478","推","1","1"
"1479","水","4","5"
"1480","炊","1","1"
"1481","睡","1","1"
"1482","粋","1","1"
"1483","翠","1","1"
"1484","衰","1","1"
"1485","遂","1","1"
"1486","酔","1","1"
"1488","錘","1","1"
"1489","随","1","1"
"1490","瑞","1","1"
"1491","髄","1","1"
"1492","崇","1","1"
"1493","嵩","1","1"
"1494","数","2","3"
"1495","枢","1","1"
"1497","雛","1","1"
"1498","据","1","1"
"1499","杉","1","1"
"1505","澄","1","1"
"1507","寸","1","1"
"1508","世","3","4"
"1509","瀬","1","1"
"1510","畝","1","1"
"1511","是","1","1"
"1513","制","2","3"
"1514","勢","2","2"
"1515","姓","2","2"
"1516","征","1","1"
"1517","性","2","3"
"1518","成","2","3"
"1519","政","2","3"
"1520","整","2","1"
"1521","星","2","2"
"1522","晴","2","3"
"1525","正","3","4"
"1526","清","2","2"
"1527","牲","1","1"
"1528","生","4","5"
"1529","盛","1","1"
"1530","精","2","3"
"1531","聖","1","1"
"1532","声","3","3"
"1533","製","2","1"
"1534","西","4","5"
"1535","誠","1","1"
"1536","誓","1","1"
"1537","請","1","1"
